,RunId,iteration,Step,width,height,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,initial_sheep,initial_wolves,escapeRange,Wolves,Sheep
267,24,2,30,20,20,0.04,0.05,20,True,30,4,150,50,0.25,26,3
268,24,2,40,20,20,0.04,0.05,20,True,30,4,150,50,0.25,7,2
269,24,2,50,20,20,0.04,0.05,20,True,30,4,150,50,0.25,0,3
270,24,2,60,20,20,0.04,0.05,20,True,30,4,150,50,0.25,0,4
271,24,2,70,20,20,0.04,0.05,20,True,30,4,150,50,0.25,0,5
272,24,2,80,20,20,0.04,0.05,20,True,30,4,150,50,0.25,0,9
273,24,2,90,20,20,0.04,0.05,20,True,30,4,150,50,0.25,0,10
274,24,2,100,20,20,0.04,0.05,20,True,30,4,150,50,0.25,0,17
275,25,2,0,20,20,0.04,0.05,20,True,30,4,100,150,0.25,150,100
276,25,2,10,20,20,0.04,0.05,20,True,30,4,100,150,0.25,152,23
277,25,2,20,20,20,0.04,0.05,20,True,30,4,100,150,0.25,94,4
278,25,2,30,20,20,0.04,0.05,20,True,30,4,100,150,0.25,25,0
279,25,2,40,20,20,0.04,0.05,20,True,30,4,100,150,0.25,1,0
280,25,2,50,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,0
281,25,2,60,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,0
282,25,2,70,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,0
283,25,2,80,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,0
284,25,2,90,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,0
285,25,2,100,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,0
286,26,3,0,20,20,0.04,0.05,20,True,30,4,50,50,0.25,50,50
287,26,3,10,20,20,0.04,0.05,20,True,30,4,50,50,0.25,53,26
288,26,3,20,20,20,0.04,0.05,20,True,30,4,50,50,0.25,24,9
289,26,3,30,20,20,0.04,0.05,20,True,30,4,50,50,0.25,11,13
